carat,cut,color,clarity,depth,table,price,x,y,z
0.23,Ideal,E,SI2,61.5,55.0,27058,3.95,3.98,2.43
0.21,Premium,E,SI1,59.8,61.0,27058,3.89,3.84,2.31
0.23,Good,E,VS1,56.9,65.0,27141,4.05,4.07,2.31
0.29,Premium,I,VS2,62.4,58.0,27722,4.2,4.23,2.63
0.31,Good,J,SI2,63.3,58.0,27805,4.34,4.35,2.75
0.24,Very Good,J,VVS2,62.8,57.0,27888,3.94,3.96,2.48
0.24,Very Good,I,VVS1,62.3,57.0,27888,3.95,3.98,2.47
0.26,Very Good,H,SI1,61.9,55.0,27971,4.07,4.11,2.53
0.22,Fair,E,VS2,65.1,61.0,27971,3.87,3.78,2.49
0.23,Very Good,H,VS1,59.4,61.0,28054,4.0,4.05,2.39
0.3,Good,J,SI1,64.0,55.0,28137,4.25,4.28,2.73
0.23,Ideal,J,VS1,62.8,56.0,28220,3.93,3.9,2.46
0.22,Premium,F,SI1,60.4,61.0,28386,3.88,3.84,2.33
0.31,Ideal,J,SI2,62.2,54.0,28552,4.35,4.37,2.71
0.2,Premium,E,SI2,60.2,62.0,28635,3.79,3.75,2.27
0.32,Premium,E,I1,60.9,58.0,28635,4.38,4.42,2.68
0.3,Ideal,I,SI2,62.0,54.0,28884,4.31,4.34,2.68
0.3,Good,J,SI1,63.4,54.0,29133,4.23,4.29,2.7
0.3,Good,J,SI1,63.8,56.0,29133,4.23,4.26,2.71
0.3,Very Good,J,SI1,62.7,59.0,29133,4.21,4.27,2.66
0.3,Good,I,SI2,63.3,56.0,29133,4.26,4.3,2.71
0.23,Very Good,E,VS2,63.8,55.0,29216,3.85,3.92,2.48
0.23,Very Good,H,VS1,61.0,57.0,29299,3.94,3.96,2.41
0.31,Very Good,J,SI1,59.4,62.0,29299,4.39,4.43,2.62
0.31,Very Good,J,SI1,58.1,62.0,29299,4.44,4.47,2.59
0.23,Very Good,G,VVS2,60.4,58.0,29382,3.97,4.01,2.41
0.24,Premium,I,VS1,62.5,57.0,29465,3.97,3.94,2.47
0.3,Very Good,J,VS2,62.2,57.0,29631,4.28,4.3,2.67
0.23,Very Good,D,VS2,60.5,61.0,29631,3.96,3.97,2.4
0.23,Very Good,F,VS1,60.9,57.0,29631,3.96,3.99,2.42
0.23,Very Good,F,VS1,60.0,57.0,33366,4.0,4.03,2.41
0.23,Very Good,F,VS1,59.8,57.0,33366,4.04,4.06,2.42
0.23,Very Good,E,VS1,60.7,59.0,33366,3.97,4.01,2.42
0.23,Very Good,E,VS1,59.5,58.0,33366,4.01,4.06,2.4
0.23,Very Good,D,VS1,61.9,58.0,33366,3.92,3.96,2.44
0.23,Good,F,VS1,58.2,59.0,33366,4.06,4.08,2.37
0.23,Good,E,VS1,64.1,59.0,33366,3.83,3.85,2.46
0.31,Good,H,SI1,64.0,54.0,33366,4.29,4.31,2.75
0.26,Very Good,D,VS2,60.8,59.0,33449,4.13,4.16,2.52
0.33,Ideal,I,SI2,61.8,55.0,33449,4.49,4.51,2.78
0.33,Ideal,I,SI2,61.2,56.0,33449,4.49,4.5,2.75
0.33,Ideal,J,SI1,61.1,56.0,33449,4.49,4.55,2.76
0.26,Good,D,VS2,65.2,56.0,33449,3.99,4.02,2.61
0.26,Good,D,VS1,58.4,63.0,33449,4.19,4.24,2.46
0.32,Good,H,SI2,63.1,56.0,33449,4.34,4.37,2.75
0.29,Premium,F,SI1,62.4,58.0,33449,4.24,4.26,2.65
0.32,Very Good,H,SI2,61.8,55.0,33449,4.35,4.42,2.71
0.32,Good,H,SI2,63.8,56.0,33449,4.36,4.38,2.79
0.25,Very Good,E,VS2,63.3,60.0,33532,4.0,4.03,2.54
0.29,Very Good,H,SI2,60.7,60.0,33532,4.33,4.37,2.64
0.24,Very Good,F,SI1,60.9,61.0,33532,4.02,4.03,2.45
0.23,Ideal,G,VS1,61.9,54.0,33532,3.93,3.95,2.44
0.32,Ideal,I,SI1,60.9,55.0,33532,4.45,4.48,2.72
0.22,Premium,E,VS2,61.6,58.0,33532,3.93,3.89,2.41
